[s]	o	p
gcmin:muscovite	skos:exactMatch	<https://www.mindat.org/1:1:2815:4>
gcmin:muscovite	skos:inScheme	gcmin:conceptScheme
gcmin:muscovite	gcmin:strunzlabel	"Phyllosilicate with mica sheets, composed of tetrahedral and octahedral nets"
gcmin:muscovite	gcmin:mindatid	min-2815
gcmin:muscovite	gcmin:rruffids	R040104 | R040108 | R040124 | R050080 | R050188 | R050198 | R060182 | R060266 | R061120 | R100147
gcmin:muscovite	gcmin:statusnotes	"Preciously known under related names like muscovy glass, but the current name was introduced in this publication: Dana J D (1850) Mica Family: Muscovite, in A System of Mineralogy, Third Edition, George P Putnam (New York) 356-358"
gcmin:muscovite	gcmin:strunzcodeV10	09.EC.15
gcmin:muscovite	gcmin:chemistryelements	K | Al | Si | O | H
gcmin:muscovite	gcmin:imachemistry	KAl<sub>2</sub>(Si<sub>3</sub>Al)O<sub>10</sub>(OH)<sub>2</sub>
gcmin:muscovite	gcmin:localitycount	21269
gcmin:muscovite	gcmin:wikipediadate	1794
gcmin:muscovite	gcmin:structuralgroup	Clay
gcmin:muscovite	gcmin:fleischersgroup	mica-true micas
gcmin:muscovite	gcmin:webmineralurl	http://www.webmineral.com/data/Muscovite.shtml
gcmin:muscovite	gcmin:imastatus	Approved
gcmin:muscovite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/muscovite.pdf
gcmin:muscovite	gcmin:crystalsystem	"monoclinic, hexagonal, triclinic"
gcmin:muscovite	gcmin:rruffchemistry	KAl<sub>2</sub>(Si<sub>3</sub>Al)O<sub>10</sub>(OH)<sub>2</sub>
gcmin:muscovite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/53391>
gcmin:muscovite	skos:exactMatch	gsqmin:muscovite
gcmin:muscovite	skos:prefLabel	Muscovite
gcmin:muscovite	rdf:type	skos:Concept
gcmin:muscovite	gcmin:rruffnamehtml	Muscovite
gcmin:muscovite	skos:exactMatch	<http://www.wikidata.org/entity/Q106532>
gcmin:muscovite	gcmin:mindaturl	http://www.mindat.org/min-2815.html
gcmin:muscovite	rdfs:label	Muscovite
gcmin:muscovite	gcmin:rruffnameplain	Muscovite
gcmin:natrolite	gcmin:fleischersgroup	zeolite
gcmin:natrolite	gcmin:rruffchemistry	Na<sub>2</sub>(Si<sub>3</sub>Al<sub>2</sub>)O<sub>10</sub>?2H<sub>2</sub>O
gcmin:natrolite	skos:inScheme	gcmin:conceptScheme
gcmin:natrolite	gcmin:wikipediadate	1803
gcmin:natrolite	gcmin:rruffnameplain	Natrolite
gcmin:natrolite	gcmin:strunzcodeV10	09.GA.05
gcmin:natrolite	rdf:type	skos:Concept
gcmin:natrolite	gcmin:chemistryelements	Na | Si | Al | O | H
gcmin:natrolite	skos:exactMatch	<https://www.mindat.org/1:1:2947:2>
gcmin:natrolite	gcmin:statusnotes	"Klaproth M H (1803) Chemische untersuchung des natroliths, Naturforschender Freunde zu Berlin, Neue Schriften 4, 243-248"
gcmin:natrolite	gcmin:rruffids	R040102 | R040112 | R040022 | R050589 | R060561 | R120124
gcmin:natrolite	gcmin:imachemistry	Na<sub>2</sub>(Si<sub>3</sub>Al<sub>2</sub>)O<sub>10</sub>?2H<sub>2</sub>O
gcmin:natrolite	gcmin:webmineralurl	http://www.webmineral.com/data/Natrolite.shtml
gcmin:natrolite	gcmin:rruffnamehtml	Natrolite
gcmin:natrolite	gcmin:imastatus	Approved
gcmin:natrolite	gcmin:crystalsystem	"orthorhombic, monoclinic"
gcmin:natrolite	skos:exactMatch	<http://www.wikidata.org/entity/Q415318>
gcmin:natrolite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29157>
gcmin:natrolite	gcmin:strunzlabel	Zeolite with T5O10áUnits û Fibrous Zeolite
gcmin:natrolite	gcmin:localitycount	1575
gcmin:natrolite	skos:exactMatch	gsqmin:natrolite
gcmin:natrolite	gcmin:mindaturl	http://www.mindat.org/min-2947.html
gcmin:natrolite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/natrolite.pdf
gcmin:natrolite	gcmin:mindatid	min-2947
gcmin:natrolite	rdfs:label	Natrolite
gcmin:natrolite	skos:prefLabel	Natrolite
gcmin:nepheline	rdf:type	skos:Concept
gcmin:nepheline	gcmin:localitycount	1726
gcmin:nepheline	gcmin:rruffnameplain	Nepheline
gcmin:nepheline	gcmin:statusnotes	"Ha?y R J (1801) N?pheline, Trait? de min?ralogie 3, 186-190 Chemical formula revised from NaAlSiO_4_: H?lenius U, Hatert F, Pasero M, Mills S J (2018) IMA Commission on New Minerals, Nomenclature and Classification (CNMNC) Newsletter 42. New minerals and nomenclature modifications approved in 2018. Mineralogical Magazine 82, 445-451"
gcmin:nepheline	skos:broader	strunz:s09_FA
gcmin:nepheline	gcmin:structuralgroup	Tridymite-Nepheline
gcmin:nepheline	gcmin:strunzlabel	Tektosilicate without additional non-tetrahedral anions
gcmin:nepheline	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/nepheline.pdf
gcmin:nepheline	gcmin:rruffchemistry	Na<sub>3</sub>K(Al<sub>4</sub>Si<sub>4</sub>O<sub>16</sub>)
gcmin:nepheline	skos:exactMatch	<http://www.wikidata.org/entity/Q407339>
gcmin:nepheline	gcmin:strunzcodeV10	09.FA.05
gcmin:nepheline	gcmin:rruffnamehtml	Nepheline
gcmin:nepheline	skos:broader	<https://w3id.org/geochem/1.0/mingroup/47865>
gcmin:nepheline	gcmin:imachemistry	Na<sub>3</sub>K(Al<sub>4</sub>Si<sub>4</sub>O<sub>16</sub>)
gcmin:nepheline	gcmin:imastatus	Grandfathered|Approved
gcmin:nepheline	gcmin:rruffids	R040025 | R060581 | R090059
gcmin:nepheline	gcmin:mindatid	min-2880
gcmin:nepheline	skos:exactMatch	<https://www.mindat.org/1:1:2880:2>
gcmin:nepheline	gcmin:wikipediadate	1801
gcmin:nepheline	gcmin:webmineralurl	http://www.webmineral.com/data/Nepheline.shtml
gcmin:nepheline	gcmin:mindaturl	http://www.mindat.org/min-2880.html
gcmin:nepheline	rdfs:label	Nepheline
gcmin:nepheline	skos:exactMatch	gsqmin:nepheline
gcmin:nepheline	gcmin:fleischersgroup	nepheline
gcmin:nepheline	gcmin:chemistryelements	Na | K | Al | Si | O
gcmin:nepheline	gcmin:iupacchemname	IUPAC: Potassium trisodium tetratectoalumosilicate
gcmin:nepheline	gcmin:crystalsystem	hexagonal
gcmin:nepheline	skos:inScheme	gcmin:conceptScheme
gcmin:nepheline	skos:prefLabel	Nepheline
gcmin:nickeline	gcmin:mindaturl	http://www.mindat.org/min-2901.html
gcmin:nickeline	gcmin:imachemistry	NiAs
gcmin:nickeline	rdfs:label	Nickeline
gcmin:nickeline	gcmin:rruffnameplain	Nickeline
gcmin:nickeline	skos:inScheme	gcmin:conceptScheme
gcmin:nickeline	skos:exactMatch	<http://www.wikidata.org/entity/Q419197>
gcmin:nickeline	gcmin:crystalsystem	"hexagonal, orthorhombic"
gcmin:nickeline	gcmin:structuralgroup	Nickeline
gcmin:nickeline	gcmin:chemistryelements	Ni | As
gcmin:nickeline	gcmin:strunzlabel	"Metal sulfide (M = S) with Ni, Fe, Co, PGE, etc."
gcmin:nickeline	gcmin:rruffchemistry	NiAs
gcmin:nickeline	skos:exactMatch	gsqmin:nickeline
gcmin:nickeline	gcmin:webmineralurl	http://www.webmineral.com/data/Nickeline.shtml
gcmin:nickeline	gcmin:localitycount	771
gcmin:nickeline	skos:exactMatch	<https://www.mindat.org/1:1:2901:4>
gcmin:nickeline	skos:prefLabel	Nickeline
gcmin:nickeline	gcmin:rruffnamehtml	Nickeline
gcmin:nickeline	gcmin:iupacchemname	IUPAC: Nickel arsenide
gcmin:nickeline	gcmin:imastatus	Approved
gcmin:nickeline	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29316>
gcmin:nickeline	gcmin:rruffids	R060121 | R060906
gcmin:nickeline	gcmin:strunzcodeV10	02.CC.05
gcmin:nickeline	gcmin:fleischersgroup	nickeline
gcmin:nickeline	gcmin:mindatid	min-2901
gcmin:nickeline	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/nickeline.pdf
gcmin:nickeline	gcmin:wikipediadate	1832
gcmin:nickeline	gcmin:statusnotes	"Beudant F S (1832) Nickeline, nickel arsenical, in Trait? ?l?mentaire de Min?ralogie, 2nd Edition, (Paris) 586-589"
gcmin:nickeline	rdf:type	skos:Concept
gcmin:nontronite	skos:exactMatch	<http://www.wikidata.org/entity/Q420274>
gcmin:nontronite	gcmin:webmineralurl	http://www.webmineral.com/data/Nontronite.shtml
gcmin:nontronite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/11119>
gcmin:nontronite	gcmin:imastatus	Approved
gcmin:nontronite	gcmin:rruffnameplain	Nontronite
gcmin:nontronite	gcmin:mindaturl	http://www.mindat.org/min-2924.html
gcmin:nontronite	gcmin:chemistryelements	Na | Fe | Si | Al | O | H
gcmin:nontronite	gcmin:fleischersgroup	smectite
gcmin:nontronite	gcmin:localitycount	578
gcmin:nontronite	gcmin:rruffids	R070286
gcmin:nontronite	skos:prefLabel	Nontronite
gcmin:nontronite	skos:broader	gcmin:smectitegroup
gcmin:nontronite	gcmin:strunzlabel	"Phyllosilicate with mica sheets, composed of tetrahedral and octahedral nets"
gcmin:nontronite	gcmin:statusnotes	"Berthier P (1827) Nontronite, nouveau min?ral d?couvert dans le d?partement de la Dordogne, Annales de Chimie et de Physique 36, 22-27"
gcmin:nontronite	gcmin:rruffnamehtml	Nontronite
gcmin:nontronite	rdfs:label	Nontronite
gcmin:nontronite	gcmin:rruffchemistry	"Na<sub>0.3</sub>Fe<sup>3+</sup><sub>2</sub>(Si,Al)<sub>4</sub>O<sub>10</sub>(OH)<sub>2</sub>?nH<sub>2</sub>O"
gcmin:nontronite	rdf:type	skos:Concept
gcmin:nontronite	skos:exactMatch	gsqmin:nontronite
gcmin:nontronite	skos:inScheme	gcmin:conceptScheme
gcmin:nontronite	gcmin:structuralgroup	Smectite-vermiculite
gcmin:nontronite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/nontronite.pdf
gcmin:nontronite	gcmin:mindatid	min-2924
gcmin:nontronite	skos:exactMatch	<https://www.mindat.org/1:1:2924:3>
gcmin:nontronite	gcmin:strunzcodeV10	09.EC.40
gcmin:nontronite	gcmin:crystalsystem	"monoclinic, triclinic, unknown"
gcmin:nontronite	gcmin:wikipediadate	1928
gcmin:nontronite	gcmin:imachemistry	"Na<sub>0.3</sub>Fe<sup>3+</sup><sub>2</sub>(Si,Al)<sub>4</sub>O<sub>10</sub>(OH)<sub>2</sub>?nH<sub>2</sub>O"
gcmin:olivenite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/olivenite.pdf
gcmin:olivenite	rdf:type	skos:Concept
gcmin:olivenite	skos:exactMatch	gsqmin:olivenite
gcmin:olivenite	gcmin:statusnotes	"Hoffmann C A S (1789) Mineralsystem des Herrn Inspektor Werners mit dessen erlaubnis herausgegeben von C A S Hoffmann. 127) Olivenerz, Bergmannisches Journal 1, 369-398 Jameson R (1820) Olivenite, in A System of Mineralogy Volume II, Archibald Constable and Co. (Edinburgh) 331-346"
gcmin:olivenite	gcmin:localitycount	614
gcmin:olivenite	gcmin:structuralgroup	Andalusite
gcmin:olivenite	gcmin:fleischersgroup	olivenite
gcmin:olivenite	skos:exactMatch	<http://www.wikidata.org/entity/Q415831>
gcmin:olivenite	skos:inScheme	gcmin:conceptScheme
gcmin:olivenite	skos:prefLabel	Olivenite
gcmin:olivenite	gcmin:chemistryelements	Cu | As | O | H
gcmin:olivenite	gcmin:webmineralurl	http://www.webmineral.com/data/Olivenite.shtml
gcmin:olivenite	gcmin:strunzcodeV10	08.BB.30
gcmin:olivenite	gcmin:strunzlabel	"Phosphate, etc. with additional anions, without H2O, With only medium-sized cations, (OH, etc.):RO4áabout 1:1"
gcmin:olivenite	skos:exactMatch	<https://www.mindat.org/1:1:2981:6>
gcmin:olivenite	gcmin:imastatus	Grandfathered|Approved
gcmin:olivenite	gcmin:mindaturl	http://www.mindat.org/min-2981.html
gcmin:olivenite	gcmin:crystalsystem	"monoclinic, orthorhombic"
gcmin:olivenite	gcmin:rruffchemistry	Cu<sup>2+</sup><sub>2</sub>As<sup>5+</sup>O<sub>4</sub>(OH)
gcmin:olivenite	gcmin:rruffnameplain	Olivenite
gcmin:olivenite	gcmin:mindatid	min-2981
gcmin:olivenite	rdfs:label	Olivenite
gcmin:olivenite	gcmin:rruffids	R040181 | R050532
gcmin:olivenite	gcmin:imachemistry	Cu<sub>2</sub>(AsO<sub>4</sub>)(OH)
gcmin:olivenite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/32261>
gcmin:olivenite	gcmin:rruffnamehtml	Olivenite
gcmin:opal	gcmin:imachemistry	SiO<sub>2</sub>?<i>n</i>H<sub>2</sub>O
gcmin:opal	skos:broader	strunz:s04_DA
gcmin:opal	gcmin:localitycount	3728
gcmin:opal	gcmin:strunzcodeV10	04.DA.10
gcmin:opal	skos:inScheme	gcmin:conceptScheme
gcmin:opal	gcmin:crystalsystem	"hexagonal, tetragonal, amorphous"
gcmin:opal	gcmin:statusnotes	"Mineral name has been known since antiquity and predates any formal descriptive publication.  from mindat: Although it is still (2007) regarded as a valid mineral species for historical reasons, opal is not a true mineral in the accepted sense of the word as it is either composed of cristobalite and/or tridymite or composed of amorphous silica.  Opal is classified into four types: 1) Opal-CT: contains cristobalite-tridymite; 2) Opal-C: contains cristobalite; 3) Opal-AG: amorphous (Amorphous-Gel) (closely packed amorphous silica spheres form a diffraction grating to create precious opal); 4) Opal-AN: amorphous (Amorphous-Network (found as hyalite).  Transitions between opal-AG, opal-CT, and opal-C are common."
gcmin:opal	skos:exactMatch	<https://www.mindat.org/1:1:3004:1>
gcmin:opal	gcmin:chemistryelements	Si | O | H
gcmin:opal	gcmin:rruffchemistry	SiO<sub>2</sub>?<i>n</i>H<sub>2</sub>O
gcmin:opal	gcmin:rruffnameplain	Opal
gcmin:opal	gcmin:webmineralurl	http://www.webmineral.com/data/Opal.shtml
gcmin:opal	skos:exactMatch	gsqmin:opal
gcmin:opal	rdf:type	skos:Concept
gcmin:opal	skos:exactMatch	<http://www.wikidata.org/entity/Q171058>
gcmin:opal	gcmin:strunzlabel	"Oxide, Metal: Oxygen = 1:2 and similar, With small cations: Silica family"
gcmin:opal	gcmin:wikipediadate	old
gcmin:opal	gcmin:mindatid	min-3004
gcmin:opal	gcmin:mindaturl	http://www.mindat.org/min-3004.html
gcmin:opal	rdfs:label	Opal
gcmin:opal	gcmin:rruffnamehtml	Opal
gcmin:opal	gcmin:rruffids	R060652 | R060653 | R060651 | R060650 | R070627 | RS727858 | RS941917 | R100149 | R110107
gcmin:opal	gcmin:structuralgroup	Amorphous
gcmin:opal	gcmin:imastatus	Grandfathered|Approved
gcmin:opal	skos:prefLabel	Opal
gcmin:orpiment	skos:exactMatch	gsqmin:orpiment
gcmin:orpiment	skos:inScheme	gcmin:conceptScheme
gcmin:orpiment	gcmin:webmineralurl	http://www.webmineral.com/data/Orpiment.shtml
gcmin:orpiment	gcmin:structuralgroup	Orpiment
gcmin:orpiment	gcmin:chemistryelements	As | S
gcmin:orpiment	skos:broader	strunz:s02_FA
gcmin:orpiment	gcmin:rruffnameplain	Orpiment
gcmin:orpiment	gcmin:mindatid	min-3021
gcmin:orpiment	gcmin:strunzlabel	"Other sulfide with As, (Sb), S"
gcmin:orpiment	rdfs:label	Orpiment
gcmin:orpiment	gcmin:statusnotes	Mineral name has been known since antiquity and predates any formal descriptive publication
gcmin:orpiment	rdf:type	skos:Concept
gcmin:orpiment	gcmin:imachemistry	As<sub>2</sub>S<sub>3</sub>
gcmin:orpiment	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/orpiment.pdf
gcmin:orpiment	gcmin:rruffids	R060105 | R060116
gcmin:orpiment	gcmin:wikipediadate	1944
gcmin:orpiment	gcmin:rruffnamehtml	Orpiment
gcmin:orpiment	gcmin:imastatus	Grandfathered|Approved
gcmin:orpiment	gcmin:strunzcodeV10	02.FA.30
gcmin:orpiment	gcmin:iupacchemname	IUPAC: Diarsenic trisulfide
gcmin:orpiment	gcmin:mindaturl	http://www.mindat.org/min-3021.html
gcmin:orpiment	skos:exactMatch	<https://www.mindat.org/1:1:3021:8>
gcmin:orpiment	gcmin:rruffchemistry	As<sup>3+</sup><sub>2</sub>S<sup>2-</sup><sub>3</sub>
gcmin:orpiment	gcmin:localitycount	631
gcmin:orpiment	skos:prefLabel	Orpiment
gcmin:orpiment	gcmin:crystalsystem	monoclinic
gcmin:orpiment	skos:exactMatch	<http://www.wikidata.org/entity/Q419183>
gcmin:orthoamphibole	skos:broader	strunz:s09_DD
gcmin:orthoamphibole	rdf:type	skos:Concept
gcmin:orthoamphibole	gcmin:mindatid	min-55567
gcmin:orthoamphibole	skos:prefLabel	Orthoamphibole
gcmin:orthoamphibole	gcmin:localitycount	1120
gcmin:orthoamphibole	rdfs:label	Orthoamphibole
gcmin:orthoamphibole	skos:exactMatch	<https://www.mindat.org/1:1:55567:6>
gcmin:orthoamphibole	gcmin:mindaturl	https://www.mindat.org/min-55567.html
gcmin:orthoamphibole	dcterm:source	gcmin:SMRadditions
gcmin:orthoamphibole	skos:exactMatch	gsqmin:orthoamphibole
gcmin:orthoamphibole	skos:inScheme	gcmin:conceptScheme
gcmin:orthoclase	gcmin:wikipediadate	1823
gcmin:orthoclase	rdf:type	skos:Concept
gcmin:orthoclase	gcmin:structuralgroup	Feldspar
gcmin:orthoclase	skos:broader	<https://w3id.org/geochem/1.0/mingroup/9581>
gcmin:orthoclase	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/orthoclase.pdf
gcmin:orthoclase	gcmin:webmineralurl	http://www.webmineral.com/data/Orthoclase.shtml
gcmin:orthoclase	gcmin:strunzlabel	Tektosilicate without additional non-tetrahedral anions
gcmin:orthoclase	gcmin:imastatus	Approved
gcmin:orthoclase	gcmin:statusnotes	"Breithaupt J F A (1823) Feldspath. Orthoklas, in Vollst?ndige Charakteristik des Mineral-Systems., Arnoldischen Buchhandlung (Dresden) 271-275"
gcmin:orthoclase	gcmin:rruffnamehtml	Orthoclase
gcmin:orthoclase	gcmin:rruffids	R040055 | R050185 | R050367 | R060077 | R070001 | R150014
gcmin:orthoclase	gcmin:mindatid	min-3026
gcmin:orthoclase	gcmin:fleischersgroup	feldspar
gcmin:orthoclase	skos:exactMatch	gsqmin:orthoclase
gcmin:orthoclase	gcmin:crystalsystem	"monoclinic, triclinic"
gcmin:orthoclase	gcmin:chemistryelements	K | Al | Si | O
gcmin:orthoclase	skos:exactMatch	<https://www.mindat.org/1:1:3026:3>
gcmin:orthoclase	skos:inScheme	gcmin:conceptScheme
gcmin:orthoclase	gcmin:imachemistry	K(AlSi<sub>3</sub>O<sub>8</sub>)
gcmin:orthoclase	skos:prefLabel	Orthoclase
gcmin:orthoclase	gcmin:mindaturl	http://www.mindat.org/min-3026.html
gcmin:orthoclase	rdfs:label	Orthoclase
gcmin:orthoclase	gcmin:strunzcodeV10	09.FA.30
gcmin:orthoclase	gcmin:rruffnameplain	Orthoclase
gcmin:orthoclase	gcmin:rruffchemistry	KAlSi<sub>3</sub>O<sub>8</sub>
gcmin:orthoclase	gcmin:localitycount	6508
gcmin:orthoclase	skos:exactMatch	<http://www.wikidata.org/entity/Q21813710>
gcmin:pargasite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/pargasite.pdf
gcmin:pargasite	gcmin:webmineralurl	http://www.webmineral.com/data/Pargasite.shtml
gcmin:pargasite	gcmin:structuralgroup	Amphibole
gcmin:pargasite	skos:exactMatch	<https://www.mindat.org/1:1:3119:2>
gcmin:pargasite	skos:exactMatch	<http://www.wikidata.org/entity/Q2056968>
gcmin:pargasite	gcmin:rruffids	R050321 | R060072 | R060632 | R130006
gcmin:pargasite	gcmin:mindaturl	http://www.mindat.org/min-3119.html
gcmin:pargasite	rdf:type	skos:Concept
gcmin:pargasite	gcmin:strunzcodeV10	09.DE.15
gcmin:pargasite	rdfs:label	Pargasite
gcmin:pargasite	gcmin:strunzlabel	"Inosilicate with 2-periodic double chains, Si4O11; Clinoamphiboles"
gcmin:pargasite	gcmin:imachemistry	NaCa<sub>2</sub>(Mg<sub>4</sub>Al)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>(OH)<sub>2</sub>
gcmin:pargasite	gcmin:imastatus	Redefined|Approved
gcmin:pargasite	gcmin:wikipediadate	1815
gcmin:pargasite	gcmin:localitycount	467
gcmin:pargasite	gcmin:fleischersgroup	amphibole-group 2 Ca
gcmin:pargasite	gcmin:statusnotes	"Pansner J H L (1815) Korrespondenz, ?ber den sogenannten pargasit, Taschenbuch f?r die gesammte Mineralogie mit Hinsicht auf die neuesten Entdeckungen 9, 301-308 Redefined: Leake B E, Woolley A R, Arps C E S, Birch W D, Gilbert M C, Grice J D, Hawthorne F C, Kato A, Kisch H J, Krivovichev V G, Linthout K, Laird J, Mandarino J A, Maresch W V, Nickel E H, Rock N M S, Schumacher J C, Smith D C, Stephenson N C N, Ungaretti L, Whittaker E J W, Youzhi G (1997) Nomenclature of amphiboles: Report of the subcommittee on amphiboles of the International Mineralogical Association, commission on new minerals and mineral names, The Canadian Mineralogist 35, 219-246"
gcmin:pargasite	skos:prefLabel	Pargasite
gcmin:pargasite	gcmin:crystalsystem	monoclinic
gcmin:pargasite	gcmin:rruffnamehtml	Pargasite
gcmin:pargasite	gcmin:rruffchemistry	NaCa<sub>2</sub>(Mg<sub>4</sub>Al)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>(OH)<sub>2</sub>
gcmin:pargasite	gcmin:rruffnameplain	Pargasite
gcmin:pargasite	skos:inScheme	gcmin:conceptScheme
gcmin:pargasite	gcmin:mindatid	min-3119
gcmin:pargasite	gcmin:chemistryelements	Na | Ca | Mg | Al | Si | O | H
gcmin:pargasite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/43429>
gcmin:pargasite	skos:exactMatch	gsqmin:pargasite
gcmin:pectolite	gcmin:rruffids	R050396 | R060101 | R070607 | R120024
gcmin:pectolite	skos:prefLabel	Pectolite
gcmin:pectolite	rdf:type	skos:Concept
gcmin:pectolite	gcmin:statusnotes	"von Kobell F (1828) Ueber den Pektolith, Archiv f?r die Gesammte Naturlehre 13, 385-393"
gcmin:pectolite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/pectolite.pdf
gcmin:pectolite	skos:inScheme	gcmin:conceptScheme
gcmin:pectolite	skos:exactMatch	<https://www.mindat.org/1:1:3141:3>
gcmin:pectolite	rdfs:label	Pectolite
gcmin:pectolite	gcmin:wikipediadate	1828
gcmin:pectolite	gcmin:crystalsystem	triclinic
gcmin:pectolite	skos:broader	strunz:s09_DG
gcmin:pectolite	gcmin:mindatid	min-3141
gcmin:pectolite	gcmin:fleischersgroup	wollastonite
gcmin:pectolite	skos:exactMatch	gsqmin:pectolite
gcmin:pectolite	gcmin:structuralgroup	Pectolite
gcmin:pectolite	gcmin:imastatus	Grandfathered|Approved
gcmin:pectolite	gcmin:strunzcodeV10	09.DG.05
gcmin:pectolite	skos:exactMatch	<http://www.wikidata.org/entity/Q423058>
gcmin:pectolite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/39542>
gcmin:pectolite	gcmin:rruffchemistry	NaCa<sub>2</sub>Si<sub>3</sub>O<sub>8</sub>(OH)
gcmin:pectolite	gcmin:mindaturl	http://www.mindat.org/min-3141.html
gcmin:pectolite	gcmin:webmineralurl	http://www.webmineral.com/data/Pectolite.shtml
gcmin:pectolite	gcmin:rruffnameplain	Pectolite
gcmin:pectolite	gcmin:rruffnamehtml	Pectolite
gcmin:pectolite	gcmin:strunzlabel	Inosilicate with 3-periodic single and multiple chains
gcmin:pectolite	gcmin:chemistryelements	Na | Ca | Si | O | H
gcmin:pectolite	gcmin:localitycount	449
